website,linkedin_name,specialties,linkedin_url
www.btgpactual.com,BTG Pactual,investment,www.linkedin.com/company/654090
www.2cv.com,2CV,data,www.linkedin.com/company/745264
www.4chotels.co.uk,4C Hotel Group,investment,www.linkedin.com/company/10654645
www.siemon.com,The Siemon Company,data,www.linkedin.com/company/24166
http://www.8securities.com/en/,8 Securities,technology,www.linkedin.com/company/1385975
https://8thlight.com,8th Light,software,www.linkedin.com/company/140122
www.acitylawfirm.com,A City Law Firm Ltd,investment,www.linkedin.com/company/10333425
www.digigrapes.com,DigiGrapes Technologies,software,www.linkedin.com/company/671318
http://www.acceleration.biz,Acceleration,technology,www.linkedin.com/company/18868
http://accesscreativeac.uk,Access to Music,technology,www.linkedin.com/company/942523
http://accesscreativeac.uk,Access to Music,technology,www.linkedin.com/company/942523
www.accessintelligence.com,Access Intelligence Plc,software,www.linkedin.com/company/2684833
http://www.gfk.com,GfK,data,www.linkedin.com/company/4371
www.aceinfosolutions.com,"Ace Info Solutions, Inc.",cloud software,www.linkedin.com/company/111060
www.acensys.com,Acensys Limited,cloud data,www.linkedin.com/company/1591314
www.acmgrp.com,ACM Group,software,www.linkedin.com/company/72210
www.osh.com/Careers,Orchard Supply Hardware,technology,www.linkedin.com/company/19768
http://www.activesecurities.com/,Active Securities,data,www.linkedin.com/company/3336743
www.acuitilabs.co.uk,Acuiti Labs,investment technology software,www.linkedin.com/company/10420653
http://www.acutest.co.uk,Acutest,software,www.linkedin.com/company/32338
www.WeAreAdaptive.com,Adaptive Financial Consulting,software,www.linkedin.com/company/5009646
WWW.ADARA.COM,"ADARA, Inc.",data,www.linkedin.com/company/1054543
www.adroit.global,Adroit Global Ltd,data,www.linkedin.com/company/10597063
http://www.advanced-inc.com,Advanced Presentation Products,software,www.linkedin.com/company/837059
http://www.advanceddiscovery.com,Advanced Discovery,data,www.linkedin.com/company/531826
https://www.advantage.co.uk/,Advantage Business Systems Limited,cloud,www.linkedin.com/company/35630
http://www.advantageresourcing.co.uk,Advantage Resourcing UK Ltd,technology,www.linkedin.com/company/265024
www.zaicm.co.uk,ZAI Capital Markets,investment,www.linkedin.com/company/10065896
http://www.verizonwireless.com,Verizon Wireless,technology,www.linkedin.com/company/2696
http://advizzo.com/,Advizzo,cloud software,www.linkedin.com/company/10226109
www.aei.co.uk,AEI Group Ltd.,technology,www.linkedin.com/company/2568229
www.aep-holdings.com,AEP Holdings,investment,www.linkedin.com/company/9301054
http://www.agcequitypartners.com/,AGC Equity Partners,technology,www.linkedin.com/company/637187
www.agdevco.com,AgDevCo,investment,www.linkedin.com/company/638567
www.agileassets.com,AgileAssets Inc.,software,www.linkedin.com/company/138921
http://www.aipinvest.com,AIP | Investment and Advisory,investment,www.linkedin.com/company/10091404
http://www.akqa.com/,AKQA,data,www.linkedin.com/company/162356
http://www.alfanar.com,alfanar,technology,www.linkedin.com/company/226804
www.allresponsemedia.com,All Response Media,data,www.linkedin.com/company/40002
http://www.apngroup.com,Accounting Professional Network (APN Group),data software,www.linkedin.com/company/633540
https://www.alliancebernstein.com,AllianceBernstein,investment,www.linkedin.com/company/3796
https://www.alliancebernstein.com,AllianceBernstein,investment,www.linkedin.com/company/3796
www.allsop.co.uk,Allsop LLP,investment,www.linkedin.com/company/401551
http://www.nfq.uk,"Nfq Advisory, Solutions, Outsourcing",data software,www.linkedin.com/company/763202
https://www.gtakpsi.com/,Alpha Kappa Psi - Epsilon Sigma,software,www.linkedin.com/company/28149397
www.ava-tech.co.uk,Avatech London Limited,cloud,www.linkedin.com/company/29090065
www.avenir-it.com,Avenir Digital ,cloud,www.linkedin.com/company/244421
www.zoodigital.com,ZOO Digital Group plc,software,www.linkedin.com/company/125052
www.axiomsl.com,AxiomSL,data investment,www.linkedin.com/company/459956
www.axonix.com,Axonix,technology,www.linkedin.com/company/5151647
www.axonn.media,Axonn Media,technology,www.linkedin.com/company/2866752
www.axxeltrova.com,Axxeltrova,technology,www.linkedin.com/company/10355961
www.aylinwhite.com,Aylin White,investment,www.linkedin.com/company/734142
www.b2cleads.co.uk,B to C Marketing Ltd,investment,www.linkedin.com/company/11062566
http://www.support.com,Support.com,software technology,www.linkedin.com/company/404295
www.helix-ig.com,Helix International Group,software,www.linkedin.com/company/743472
http://www.handelsbankenwealth.co.uk/,Handelsbanken Wealth Management,investment,www.linkedin.com/company/15194981
www.swissadvantage.net,Swiss Advantage Systems (Pvt) Ltd,software,www.linkedin.com/company/3772076
www.symphonyhq.com,Symphony Ventures,software,www.linkedin.com/company/5297352
http://www.synechron.com,Synechron,technology,www.linkedin.com/company/15506
www.syntax.com,Syntax,software cloud,www.linkedin.com/company/57010
syzygy.net,SYZYGY,technology,www.linkedin.com/company/166236
http://www.talentia-software.com,Talentia Software,software,www.linkedin.com/company/594049
www.tamassetmanagement.com,TAM Asset Management Ltd,investment,www.linkedin.com/company/1550026
http://www.tanagerwealth.com/,Tanager Wealth Management LLP,investment,www.linkedin.com/company/2787678
tangentcollective.com,Tangent Collective,software investment,www.linkedin.com/company/18399244
europe.tata.com,Tata Group - Europe,technology,www.linkedin.com/company/1740527
www.tatainteractive.com,Tata Interactive Systems,software,www.linkedin.com/company/166261
https://www.tatateleservices.com,Tata Tele Business Services,data,www.linkedin.com/company/3879
www.taylor-dejongh.com,Taylor-DeJongh,investment,www.linkedin.com/company/56798
www.cmcltd.com,CMC LTD,software,www.linkedin.com/company/217495
www.teacherstern.com,Teacher Stern LLP,technology,www.linkedin.com/company/505190
http://teads.tv/en/careers/,Teads.tv,technology data,www.linkedin.com/company/2691523
http://www.teavaro.com,Teavaro Limited,data,www.linkedin.com/company/10061895
http://immersive.technicolor.com,Technicolor,technology,www.linkedin.com/company/1141
www.tengroup.com,Ten Lifestyle Group,technology,www.linkedin.com/company/122659
www.ternplc.com,Tern PLC,technology investment,www.linkedin.com/company/11037288
www.dekko.com,Group DEKKO,data,www.linkedin.com/company/854707
www.texuna.com,Texuna Technologies,software technology data cloud,www.linkedin.com/company/95439
www.tdccompanies.com,TDC Companies,investment,www.linkedin.com/company/1789209
www.londonandpartners.com,London & Partners,investment,www.linkedin.com/company/2079889
http://www.aspirelifestyles.com/,Aspire Lifestyles,technology,www.linkedin.com/company/5026577
www.theappbusiness.com,The App Business (TAB),technology,www.linkedin.com/company/693145
https://www.ap.org,The Associated Press,software,www.linkedin.com/company/204617
http://www.scotiabank.com,Scotiabank,technology investment,www.linkedin.com/company/3139
http://www.mufg.jp/english/ourbrand/index.html,MUFG,investment,www.linkedin.com/company/3795888
www.tcm.uk.com,TCM - The NonStop Experts,data,www.linkedin.com/company/149072
http://www.cense.iisc.ac.in,Centre for Nano Science and Engineering (CeNSE),technology,www.linkedin.com/company/6581977
www.bridgepoint.com.au,Bridge Point Communications,data,www.linkedin.com/company/256724
www.uklebhub.com,UK Lebanon Tech Hub,technology,www.linkedin.com/company/9391016
www.carbontrust.com,The Carbon Trust,technology,www.linkedin.com/company/21509
https://www.dextrousinfo.com/,Dextrous Infosolutions Pvt Ltd,software,www.linkedin.com/company/3315683
http://businessrockstars.com/,Business Rockstars,technology,www.linkedin.com/company/2857775
www.theexchangelab.com,The Exchange Lab,technology,www.linkedin.com/company/1915522
http://www.go-ahead.com/,The Go-Ahead Group plc,technology,www.linkedin.com/company/1416478
http://www.theinformationlab.co.uk,The Information Lab,data,www.linkedin.com/company/1326089
www.localdatacompany.com,The Local Data Company (LDC),data,www.linkedin.com/company/1387077
www.lcf.on.ca,London Community Foundation,investment,www.linkedin.com/company/2235001
www.oliversanderson.com,Oliver Sanderson Group PLC,technology,www.linkedin.com/company/2302729
www.npd.com,The NPD Group,software technology data,www.linkedin.com/company/166393
