linkedin_name,linkedin_url,specialties,website
BTG Pactual,www.linkedin.com/company/654090,investment,www.btgpactual.com
2CV,www.linkedin.com/company/745264,data,www.2cv.com
4C Hotel Group,www.linkedin.com/company/10654645,investment,www.4chotels.co.uk
The Siemon Company,www.linkedin.com/company/24166,data,www.siemon.com
8 Securities,www.linkedin.com/company/1385975,technology,http://www.8securities.com/en/
8th Light,www.linkedin.com/company/140122,software,https://8thlight.com
A City Law Firm Ltd,www.linkedin.com/company/10333425,investment,www.acitylawfirm.com
DigiGrapes Technologies,www.linkedin.com/company/671318,software,www.digigrapes.com
Acceleration,www.linkedin.com/company/18868,technology,http://www.acceleration.biz
Access to Music,www.linkedin.com/company/942523,technology,http://accesscreativeac.uk
Access to Music,www.linkedin.com/company/942523,technology,http://accesscreativeac.uk
Access Intelligence Plc,www.linkedin.com/company/2684833,software,www.accessintelligence.com
GfK,www.linkedin.com/company/4371,data,http://www.gfk.com
"Ace Info Solutions, Inc.",www.linkedin.com/company/111060,cloud software,www.aceinfosolutions.com
Acensys Limited,www.linkedin.com/company/1591314,cloud data,www.acensys.com
ACM Group,www.linkedin.com/company/72210,software,www.acmgrp.com
Orchard Supply Hardware,www.linkedin.com/company/19768,technology,www.osh.com/Careers
Active Securities,www.linkedin.com/company/3336743,data,http://www.activesecurities.com/
Acuiti Labs,www.linkedin.com/company/10420653,investment technology software,www.acuitilabs.co.uk
Acutest,www.linkedin.com/company/32338,software,http://www.acutest.co.uk
Adaptive Financial Consulting,www.linkedin.com/company/5009646,software,www.WeAreAdaptive.com
"ADARA, Inc.",www.linkedin.com/company/1054543,data,WWW.ADARA.COM
Adroit Global Ltd,www.linkedin.com/company/10597063,data,www.adroit.global
Advanced Presentation Products,www.linkedin.com/company/837059,software,http://www.advanced-inc.com
Advanced Discovery,www.linkedin.com/company/531826,data,http://www.advanceddiscovery.com
Advantage Business Systems Limited,www.linkedin.com/company/35630,cloud,https://www.advantage.co.uk/
Advantage Resourcing UK Ltd,www.linkedin.com/company/265024,technology,http://www.advantageresourcing.co.uk
ZAI Capital Markets,www.linkedin.com/company/10065896,investment,www.zaicm.co.uk
Verizon Wireless,www.linkedin.com/company/2696,technology,http://www.verizonwireless.com
Advizzo,www.linkedin.com/company/10226109,cloud software,http://advizzo.com/
AEI Group Ltd.,www.linkedin.com/company/2568229,technology,www.aei.co.uk
AEP Holdings,www.linkedin.com/company/9301054,investment,www.aep-holdings.com
AGC Equity Partners,www.linkedin.com/company/637187,technology,http://www.agcequitypartners.com/
AgDevCo,www.linkedin.com/company/638567,investment,www.agdevco.com
AgileAssets Inc.,www.linkedin.com/company/138921,software,www.agileassets.com
AIP | Investment and Advisory,www.linkedin.com/company/10091404,investment,http://www.aipinvest.com
AKQA,www.linkedin.com/company/162356,data,http://www.akqa.com/
alfanar,www.linkedin.com/company/226804,technology,http://www.alfanar.com
All Response Media,www.linkedin.com/company/40002,data,www.allresponsemedia.com
Accounting Professional Network (APN Group),www.linkedin.com/company/633540,data software,http://www.apngroup.com
AllianceBernstein,www.linkedin.com/company/3796,investment,https://www.alliancebernstein.com
AllianceBernstein,www.linkedin.com/company/3796,investment,https://www.alliancebernstein.com
Allsop LLP,www.linkedin.com/company/401551,investment,www.allsop.co.uk
"Nfq Advisory, Solutions, Outsourcing",www.linkedin.com/company/763202,data software,http://www.nfq.uk
Alpha Kappa Psi - Epsilon Sigma,www.linkedin.com/company/28149397,software,https://www.gtakpsi.com/
