website,specialties,linkedin_url,linkedin_name
www.bankleumi.co.uk,technology,www.linkedin.com/company/362804,Bank Leumi UK plc
http://www.hkbea.com,investment,www.linkedin.com/company/38585,"The Bank of East Asia, Limited"
www.maltem.com,data,www.linkedin.com/company/33832,Maltem Consulting Group
http://www.banks-sadler.com/,technology,www.linkedin.com/company/73132,Banks Sadler
http://www.home.barclays,investment,www.linkedin.com/company/1426,Barclays
http://www.home.barclays,investment,www.linkedin.com/company/1426,Barclays
http://www.ibm.com,technology cloud,www.linkedin.com/company/1009,IBM
http://bcgdv.com,data,www.linkedin.com/company/3590362,BCG Digital Ventures
http://www.bearingpoint.com,technology,www.linkedin.com/company/1349,BearingPoint
benevolent.ai,data,www.linkedin.com/company/10929741,BenevolentAI
www.bginfotech.co.uk,data,www.linkedin.com/company/3013353,BG Infotech Ltd
www.bhdgsystematic.com,investment,www.linkedin.com/company/10412344,BH-DG Systematic Trading LLP
http://bickerdikeallen.com,technology,www.linkedin.com/company/15178144,Bickerdike Allen Partners LLP
http://www.texata.com/,data,www.linkedin.com/company/3175539,Big Data Analytics World Championships (TEXATA)
www.bigsocietycapital.com,investment,www.linkedin.com/company/2789615,Big Society Capital
http://www.biotronics3d.com/,cloud,www.linkedin.com/company/208595,Biotronics3D
www.twobirds.com,technology data,www.linkedin.com/company/318488,Bird & Bird
www.blackswan.com,data,www.linkedin.com/company/2824836,Black Swan Data
www.block.co.uk,data,www.linkedin.com/company/151857,Block Solutions
bloomberg.com/company,software data,www.linkedin.com/company/2494,Bloomberg LP
www.bluesky.co.uk,cloud,www.linkedin.com/company/151416,Blue Sky Hosting Ltd
www.bluefieldllp.com,investment,www.linkedin.com/company/1213976,Bluefield Partners LLP
http://bluesource.net/au,technology data,www.linkedin.com/company/10573728,bluesource Australia
www.bmlltech.com,data,www.linkedin.com/company/5274132,BMLL Technologies Ltd
http://www.boldworldwide.com,data,www.linkedin.com/company/2331944,BOLD Worldwide
www.bondstreetgroup.com,technology,www.linkedin.com/company/276966,"Bond Street Group, LLC"
http://www.bondradar.com,data,www.linkedin.com/company/9457320,Bond Radar Ltd
http://www.bookingbug.com/,software,www.linkedin.com/company/965250,BookingBug
http://www.borngroup.com,technology software cloud,www.linkedin.com/company/25962,Born Group
www.borwood.com,cloud,www.linkedin.com/company/513506,Borwood Group
www.boxbergcapital.com,investment,www.linkedin.com/company/21737407,BOXBERG CAPITAL LIMITED
www.boxfusionconsulting.com,cloud,www.linkedin.com/company/1505088,Boxfusion Consulting Limited
https://careers.dwp.gov.uk/bpdts/,software,www.linkedin.com/company/21139650,BPDTS LIMITED
http://www.bpptechnologiesllc.com,data,www.linkedin.com/company/2371612,BPP Technologies LLC
www.brainloop.com,data,www.linkedin.com/company/51023,Brainloop
https://www.braze.com/,software,www.linkedin.com/company/792882,Braze (formerly Appboy)
www.bridgebank.com,technology,www.linkedin.com/company/162785,Bridge Bank
