specialties,linkedin_name,website,linkedin_url
technology,Britannia Row Productions Training,http://training.britanniarow.com,www.linkedin.com/company/2833057
data,Broad Reach IT,www.broadreachit.com,www.linkedin.com/company/3328978
technology data,Broadridge,www.broadridge.com,www.linkedin.com/company/11834
investment,Brookland Partners LLP,www.brookland.com,www.linkedin.com/company/297197
investment,Brown Smith Wallace,http://brownsmithwallace.com,www.linkedin.com/company/43727
investment,Brown Brothers Harriman,www.bbh.com,www.linkedin.com/company/4701
data,Brown Rudnick LLP,http://www.brownrudnick.com,www.linkedin.com/company/14727
data,Bryden Wood,www.brydenwood.co.uk,www.linkedin.com/company/1502464
software,BSA Solutions,http://bsa.solutions/,www.linkedin.com/company/29120625
technology,Tech Mahindra,http://www.techmahindra.com/theme/DAVID.html,www.linkedin.com/company/3067
technology cloud data,Data Dimensions,www.datadimensions.com,www.linkedin.com/company/163352
software cloud,ICT Group,https://www.ict.eu,www.linkedin.com/company/4940
software,Engineering Ingegneria Informatica Spa,http://www.eng.it,www.linkedin.com/company/27862
data,Buzz Radar,www.buzzradar.com,www.linkedin.com/company/2848281
technology,The Tab,http://www.thetab.com,www.linkedin.com/company/2845456
cloud technology,Cabot Technology Solutions Inc,www.cabotsolutions.com,www.linkedin.com/company/232458
data,Calastone,www.calastone.com,www.linkedin.com/company/864885
data,Nelson Technology,http://www.nelsonjobs.com/nelson-technology/,www.linkedin.com/company/759395
technology data,Campbell North,www.campbell-north.com,www.linkedin.com/company/2323202
investment,Canaccord Genuity Limited,http://www.canaccordgenuity.com/capital-markets/,www.linkedin.com/company/8400055
investment technology,CPP Investment Board,www.cppib.com,www.linkedin.com/company/23230
software,Capita | Software services,www.capita-software.co.uk,www.linkedin.com/company/9463685
investment software,Chase International Executive Search,www.chaseinternationalsearch.com,www.linkedin.com/company/10309335
technology,International Bancard Corporation,www.internationalbancard.com,www.linkedin.com/company/863830
data,Capital Novus,http://www.knovos.com/,www.linkedin.com/company/2296634
investment,Capital Markets Executive Search,http://capitalmarkets.ie,www.linkedin.com/company/2909775
data,Captify,http://www.captify.co.uk,www.linkedin.com/company/2704966
data,Capula,www.capula.co.uk,www.linkedin.com/company/48470
data,Caradigm Europe,www.caradigm.co.uk,www.linkedin.com/company/3508288
software,Carallon Ltd,www.carallon.com,www.linkedin.com/company/1489808
data,Carbon Credentials,http://www.carboncredentials.com/,www.linkedin.com/company/1591564
data,Carbon Smart,www.carbonsmart.co.uk,www.linkedin.com/company/263326
software,CareerBuilder.co.uk (For Employers),hiring.careerbuilder.co.uk,www.linkedin.com/company/2936906
investment,Carey Olsen,www.careyolsen.com,www.linkedin.com/company/54522
cloud,Carrenza Ltd,http://www.6dg.co.uk,www.linkedin.com/company/141562
technology,Cast & Crew Entertainment Services,www.castandcrew.com,www.linkedin.com/company/113134
software cloud,CAST,https://www.castsoftware.com,www.linkedin.com/company/162909
investment,CD Fairfield Capital Ltd,https://www.cdfairfieldcapital.com,www.linkedin.com/company/3740511
investment,CDC Group plc,www.cdcgroup.com,www.linkedin.com/company/356162
technology,CDW,http://www.cdw.com,www.linkedin.com/company/3334
investment,Celestial Globe Consultancy Ltd,http://www.celestialglobe.co.uk/,www.linkedin.com/company/2936757
software,CentrePoint Software Ltd,www.CentrePointSoftware.co.uk,www.linkedin.com/company/5241526
data,Stratford upon Avon Telecom Limited,www.stratfordtele.com,www.linkedin.com/company/28186098
investment,CFA Institute,http://www.cfainstitute.org/,www.linkedin.com/company/162977
cloud,CGI Retinel Group Pte Ltd,https://retinel.com,www.linkedin.com/company/3764448
data,Staff IT UK,http://www.staffituk.com/index.html,www.linkedin.com/company/11243654
software,ChapmanBlack (powered by Endorsed),http://www.chapmanblack.com,www.linkedin.com/company/54770
investment,Charity Finance Group,http://www.cfg.org.uk,www.linkedin.com/company/352092
investment software data,Charles River Development,https://www.crd.com,www.linkedin.com/company/6816
technology,The Chartis Group,www.chartis.com,www.linkedin.com/company/38109
