specialties,linkedin_name,linkedin_url,website
investment,Alquity Investment Management,www.linkedin.com/company/1345514,www.alquity.com
technology,ALTEN,www.linkedin.com/company/5322,https://www.alten.fr/
data,AlternativeSoft,www.linkedin.com/company/575729,www.alternativesoft.com
data,The Information Lab,www.linkedin.com/company/1326089,http://www.theinformationlab.co.uk
investment,Altitude Real Estate Limited,www.linkedin.com/company/10450320,http://www.altitudeuk.com
data,Colt Technology Services,www.linkedin.com/company/2712,www.colt.net
cloud,UK Cloud Consulting,www.linkedin.com/company/10089612,http://www.ukcloudconsulting.eu/
technology,DAF Trucks NV,www.linkedin.com/company/6868,http://www.daf.com
technology data,Digital Animal,www.linkedin.com/company/1251164,www.digitalanimal.com
cloud,AMOSCA,www.linkedin.com/company/206567,http://www.amosca.co.uk
software,Amsphere Limited,www.linkedin.com/company/310474,www.amsphere.com
technology software,Amtex Systems,www.linkedin.com/company/14695,www.amtexsystems.com
investment,Amundi Pioneer,www.linkedin.com/company/4601,http://www.amundipioneer.com
data,AnalogFolk,www.linkedin.com/company/1026948,http://www.analogfolk.com
software,Analysys Mason,www.linkedin.com/company/11737,http://www.analysysmason.com
investment,ANDURAND CAPITAL MANAGEMENT LLP,www.linkedin.com/company/6238577,http://andurandcapital.com
software,Annapurna Recruitment,www.linkedin.com/company/735906,http://www.annapurnarecruitment.com
technology software data,Anorak Technologies Ltd,www.linkedin.com/company/18285915,anorak.life
technology,Antal International,www.linkedin.com/company/6279,http://www.antal.com
investment,Apex Housing Group,www.linkedin.com/company/5501097,http://apexhousingsolutions.co.uk
cloud,Appirio,www.linkedin.com/company/67160,www.appirio.com
technology,Appnova Limited,www.linkedin.com/company/202604,www.appnova.com
technology,ELLIX - Technology Business Management (TBM),www.linkedin.com/company/9211252,http://www.ellix-tbm.com
software data,Aqua Metrology Systems Limited,www.linkedin.com/company/1236380,www.aquametrologysystems.com
cloud software data,Arbor Education Partners,www.linkedin.com/company/2649296,www.arbor-education.com
software,Ark Workplace Risk,www.linkedin.com/company/2950418,www.arkworkplacerisk.co.uk
data,Arria NLG plc,www.linkedin.com/company/3038498,www.arria.com
technology software,Arts Alliance Media,www.linkedin.com/company/29084,www.artsalliancemedia.com
software,Asian Absolute,www.linkedin.com/company/1618973,https://asianabsolute.co.uk
investment data,Asoko Insight,www.linkedin.com/company/5070209,www.asokoinsight.com
technology,ASOS.com,www.linkedin.com/company/61834,www.asos.com
investment technology software,Aspect Capital,www.linkedin.com/company/22464,www.aspectcapital.com
data,Aspect Enterprise Solutions,www.linkedin.com/company/372253,www.aspectenterprise.com
data,Aspect Enterprise Solutions,www.linkedin.com/company/372253,www.aspectenterprise.com
technology,Aspirant,www.linkedin.com/company/76835,www.aspirant.com
