linkedin_name,specialties,website,linkedin_url
Alquity Investment Management,investment,www.alquity.com,www.linkedin.com/company/1345514
ALTEN,technology,https://www.alten.fr/,www.linkedin.com/company/5322
AlternativeSoft,data,www.alternativesoft.com,www.linkedin.com/company/575729
The Information Lab,data,http://www.theinformationlab.co.uk,www.linkedin.com/company/1326089
Altitude Real Estate Limited,investment,http://www.altitudeuk.com,www.linkedin.com/company/10450320
Colt Technology Services,data,www.colt.net,www.linkedin.com/company/2712
UK Cloud Consulting,cloud,http://www.ukcloudconsulting.eu/,www.linkedin.com/company/10089612
DAF Trucks NV,technology,http://www.daf.com,www.linkedin.com/company/6868
Digital Animal,data technology,www.digitalanimal.com,www.linkedin.com/company/1251164
AMOSCA,cloud,http://www.amosca.co.uk,www.linkedin.com/company/206567
Amsphere Limited,software,www.amsphere.com,www.linkedin.com/company/310474
Amtex Systems,technology software,www.amtexsystems.com,www.linkedin.com/company/14695
Amundi Pioneer,investment,http://www.amundipioneer.com,www.linkedin.com/company/4601
AnalogFolk,data,http://www.analogfolk.com,www.linkedin.com/company/1026948
Analysys Mason,software,http://www.analysysmason.com,www.linkedin.com/company/11737
ANDURAND CAPITAL MANAGEMENT LLP,investment,http://andurandcapital.com,www.linkedin.com/company/6238577
Annapurna Recruitment,software,http://www.annapurnarecruitment.com,www.linkedin.com/company/735906
Anorak Technologies Ltd,data technology software,anorak.life,www.linkedin.com/company/18285915
Antal International,technology,http://www.antal.com,www.linkedin.com/company/6279
Apex Housing Group,investment,http://apexhousingsolutions.co.uk,www.linkedin.com/company/5501097
Appirio,cloud,www.appirio.com,www.linkedin.com/company/67160
Appnova Limited,technology,www.appnova.com,www.linkedin.com/company/202604
ELLIX - Technology Business Management (TBM),technology,http://www.ellix-tbm.com,www.linkedin.com/company/9211252
Aqua Metrology Systems Limited,data software,www.aquametrologysystems.com,www.linkedin.com/company/1236380
Arbor Education Partners,data cloud software,www.arbor-education.com,www.linkedin.com/company/2649296
Ark Workplace Risk,software,www.arkworkplacerisk.co.uk,www.linkedin.com/company/2950418
Arria NLG plc,data,www.arria.com,www.linkedin.com/company/3038498
Arts Alliance Media,technology software,www.artsalliancemedia.com,www.linkedin.com/company/29084
Asian Absolute,software,https://asianabsolute.co.uk,www.linkedin.com/company/1618973
Asoko Insight,data investment,www.asokoinsight.com,www.linkedin.com/company/5070209
ASOS.com,technology,www.asos.com,www.linkedin.com/company/61834
Aspect Capital,technology investment software,www.aspectcapital.com,www.linkedin.com/company/22464
Aspect Enterprise Solutions,data,www.aspectenterprise.com,www.linkedin.com/company/372253
Aspect Enterprise Solutions,data,www.aspectenterprise.com,www.linkedin.com/company/372253
Aspirant,technology,www.aspirant.com,www.linkedin.com/company/76835
Astound Commerce UK,technology,www.astoundcommerce.co.uk,www.linkedin.com/company/10837267
Atelier,software,www.atelier.tm,www.linkedin.com/company/208457
Atlantis Capital Management,investment,http://www.atlantiscapital.co.uk,www.linkedin.com/company/6694101
Atmos (studio),data,www.atmosstudio.com,www.linkedin.com/company/1255582
Engagement Factory,cloud,www.engagementfactory.com,www.linkedin.com/company/3197578
ATPI,technology,http://www.atpi.com/,www.linkedin.com/company/296771
Austin Consultants,technology,https://www.austinconsultants.co.uk/,www.linkedin.com/company/2264485
Australian Associated Press (AAP),data,www.aap.com.au,www.linkedin.com/company/22934
Verticurl (a WPP Company),technology,www.verticurl.com,www.linkedin.com/company/244549
Automation Logic,cloud,http://www.automationlogic.com/,www.linkedin.com/company/897243
"Autonomous Solutions, Inc. (ASI)",software,http://www.asirobots.com,www.linkedin.com/company/62263
