website,specialties,linkedin_name,linkedin_url
https://www.marchcomms.com,software,March Communications,www.linkedin.com/company/76006
marinsoftware.com,software,Marin Software,www.linkedin.com/company/49553
http://www.boingo.com,technology,Boingo Wireless,www.linkedin.com/company/15313
www.traxmarkets.com,data,Trax,www.linkedin.com/company/238932
www.marketingimpact.co.nz,cloud data,Marketing Impact,www.linkedin.com/company/118737
www.marketkey.com,data,Marketkey Ltd,www.linkedin.com/company/1781504
www.massive.co,software,Massive Interactive,www.linkedin.com/company/227781
http://www.matrix-ifs.com,cloud,Matrix IFS,www.linkedin.com/company/204589
http://www.maxisinvestments.co.uk,investment,Maxis Investments Ltd,www.linkedin.com/company/10404100
www.mayerbrownjsm.com,technology data investment,Mayer Brown JSM,www.linkedin.com/company/1321823
http://www.mazepoint.com,data software,Mazepoint Ltd,www.linkedin.com/company/1846088
www.medallia.com,technology,Medallia,www.linkedin.com/company/49697
www.mediagamma.com,data,MediaGamma Limited,www.linkedin.com/company/5068337
www.mediaocean.com/,technology software,Mediaocean (formerly Donovan Data Systems),www.linkedin.com/company/7566
www.meritgroup.co.uk,data,MeritGroup,www.linkedin.com/company/248954
www.metafour.com,software,Metafour Ltd,www.linkedin.com/company/433475
www.metail.com,technology data,Metail,www.linkedin.com/company/1107947
www.thenewstribe.com,technology,The News Tribe,www.linkedin.com/company/1608258
http://www.mdx.ac.uk/,technology,Middlesex University,www.linkedin.com/company/11125
http://milestonegroup.co.uk/,technology,Milestone Group PLC,www.linkedin.com/company/1289694
www.msearchllc.com,technology data software,Millennium Search LLC,www.linkedin.com/company/777449
http://www.mindbodyonline.com,software,"MINDBODY, Inc.",www.linkedin.com/company/42640
http://www.minterellison.com,technology,MinterEllison,www.linkedin.com/company/7928
http://hr.mst.edu,technology,Missouri S&T Human Resources,www.linkedin.com/company/12815
http://www.mufg.jp/english/ourbrand/index.html,investment,MUFG,www.linkedin.com/company/3795888
http://www.mufg.jp/english/ourbrand/index.html,investment,MUFG,www.linkedin.com/company/3795888
https://www.mizuhoamericas.com,investment,Mizuho,www.linkedin.com/company/7318
http://www.mj-et-cie.com/,investment,MJ&Cie (independant family wealth advisors),www.linkedin.com/company/5065375
www.mkodo.com,technology,UK-based mobile channel tech. company,www.linkedin.com/company/331779
http://www.omgukcareers.com/,data investment,Omnicom Media Group UK,www.linkedin.com/company/3884
http://www.momentum.co.uk,investment,Momentum Global Investment Management,www.linkedin.com/company/10018345
