linkedin_url,specialties,website,linkedin_name
www.linkedin.com/company/392772,data,http://monetate.com,"Monetate, Inc."
www.linkedin.com/company/167379,technology,www.gumgum.com,GumGum
www.linkedin.com/company/5161,investment,www.morningstar.com/company/,Morningstar
www.linkedin.com/company/2910943,technology,www.mountainhare.com,Mountain Hare Consulting
www.linkedin.com/company/1519617,technology,http://mpac-group.com/mpac-langen/,Mpac Langen
www.linkedin.com/company/5337589,technology data,mudano.com,Mudano
www.linkedin.com/company/226925,technology,https://www.mybuilder.com,MyBuilder.com
www.linkedin.com/company/2073206,data,www.mydrivesolutions.com,MyDrive Solutions Limited
www.linkedin.com/company/2665306,cloud,www.namossolutions.com,Namos Solutions Ltd
www.linkedin.com/company/470044,technology,www.nastracgroup.com,Nastrac Group
www.linkedin.com/company/2042403,data,http://www.natexo.com/en_GB/,FSI Media / Natexo GB
www.linkedin.com/company/165099,investment,https://www.nbc.ca/en/personal.html,National Bank of Canada
www.linkedin.com/company/221757,data,https://www.addstones.com,Addstones
www.linkedin.com/company/10435964,data,www.sourceglobalresearch.com,Source Global Research
www.linkedin.com/company/2294961,data,www.neoninfotech.com,Neon Infotech
www.linkedin.com/company/682469,data,https://nepa.com/,Nepa
www.linkedin.com/company/165148,data investment,www.nesta.org.uk,Nesta
www.linkedin.com/company/1702660,data,http://www.netconsult.com.au,NetConsult
www.linkedin.com/company/1919522,technology,https://www.worldremit.com,WorldRemit
www.linkedin.com/company/10453754,data,neudata.co,Neudata Limited
www.linkedin.com/company/703574,software,http://www.thoughtbot.com,New Bamboo
www.linkedin.com/company/5083744,cloud,www.nsn.co,New Star Networks (NSN)
www.linkedin.com/company/165183,software,www.nexant.com,Nexant
www.linkedin.com/company/2276493,software,http://www.nexudus.com,Nexudus Limited
www.linkedin.com/company/1973573,software,www.ngoar.com,Ngoar
www.linkedin.com/company/12502,software,http://www.nihilent.com,Nihilent Ltd
www.linkedin.com/company/2357640,software,www.nimblejackaccounting.co.uk,Nimble Jack Accounting Ltd
www.linkedin.com/company/2912578,technology cloud data,www.nimbusninety.com,Nimbus Ninety
www.linkedin.com/company/3186076,investment,http://www.northerntrust.com/goals-driven-wealth-management,Northern Trust Wealth Management
www.linkedin.com/company/400066,investment,www.novainvestmentclub.com,Nova Investment Club
www.linkedin.com/company/3537233,technology investment data software,www.solovis.com,"Solovis, Inc."
www.linkedin.com/company/10322183,data,everis.co.uk,everis UK
