specialties,linkedin_url,linkedin_name,website
cloud,www.linkedin.com/company/219829,NTT Europe Ltd.,www.eu.ntt.com
data cloud,www.linkedin.com/company/735085,Nutanix,www.nutanix.com
investment,www.linkedin.com/company/2350650,London Office of the Agent General of South Australia,https://newsouthaustralia.com/
cloud,www.linkedin.com/company/8777310,"Blue Profile - IT Security, Consulting & Solutions",https://www.blueprofile.co.uk
technology,www.linkedin.com/company/1131057,On Device Research,ondeviceresearch.com
technology,www.linkedin.com/company/166397,The Point Group,http://www.thepointgroup.com/
technology,www.linkedin.com/company/201740,One Click Ventures,http://www.oneclickventures.com
software,www.linkedin.com/company/10867810,Shuttle - Introducer Onboarding Simplified,www.shuttleon.com
software,www.linkedin.com/company/440951,Mani India Technologies,http://www.maniindiatech.com
software,www.linkedin.com/company/885950,Open Source Initiative (OSI),http://opensource.org
software,www.linkedin.com/company/94009,Open Destinations,www.opendestinations.com
technology,www.linkedin.com/company/1314683,London Stock Exchange Group (LSEG),www.lseg.com
data,www.linkedin.com/company/82782,Information International Associates,www.iiaweb.com
data,www.linkedin.com/company/654794,pH Associates Ltd (an OPEN Health company),www.pHassociates.com
investment,www.linkedin.com/company/15156315,"Alex. Brown, a Division of Raymond James",alex-brown.com
technology,www.linkedin.com/company/41134,Orbium,www.orbium.com
software,www.linkedin.com/company/2575208,Overview Ltd.,http://www.overview.co.uk
cloud,www.linkedin.com/company/1883877,OVH,www.ovh.com
technology software data,www.linkedin.com/company/3687531,OxCEPT Ltd.,www.oxcept.com
software,www.linkedin.com/company/1580787,Oxford Cryosystems,www.oxcryo.com
data,www.linkedin.com/company/1048495,Oxford Knight Limited,oxfordknight.com
investment,www.linkedin.com/company/3360676,P3P Partners LLP,www.p3ppartners.com
investment,www.linkedin.com/company/3816616,Pacific Investments LLC,www.dubaipacific.com
software,www.linkedin.com/company/23324,Paddy Power Betfair,https://www.paddypowerbetfair.jobs/
technology,www.linkedin.com/company/2746884,Parabellum Markets LLP,www.parabellummarkets.com
investment,www.linkedin.com/company/2253590,Paragon Group (UK),www.theparagongroup.co.uk
investment,www.linkedin.com/company/2909775,Capital Markets Executive Search,http://capitalmarkets.ie
investment,www.linkedin.com/company/65843,Pavilion Advisory Group,http://www.pavilioncorp.com/advisory-services/
investment,www.linkedin.com/company/23301,Payden & Rygel,www.payden.com
investment,www.linkedin.com/company/1638957,Pearson Jones PLC,http://www.1825.com
investment,www.linkedin.com/company/3239178,Pembroke VCT,http://www.pembrokevct.com
data,www.linkedin.com/company/3222196,People's Daily Online UK LTD,uk.people.com.cn
software,www.linkedin.com/company/56075,Michaels & Associates,www.mnalearning.com
cloud,www.linkedin.com/company/340556,perTECHtual Ltd,www.perTECHtual.com
