linkedin_url,linkedin_name,website,specialties
www.linkedin.com/company/11505474,The PHA Group,https://thephagroup.com/,technology
www.linkedin.com/company/52791,Phoenix Business Solutions,http://www.phoenixbs.com,cloud
www.linkedin.com/company/832810,PhotoBox,www.photobox.com,technology
www.linkedin.com/company/1344805,Piccadilly Group,www.piccadillygroup.com,software
www.linkedin.com/company/2187670,SMARTTECCO,http://www.smarttecco.com,data
www.linkedin.com/company/165471,Pillsbury Winthrop Shaw Pittman LLP,pillsburylaw.com,technology
www.linkedin.com/company/9428931,Yoti Ltd,www.yoti.com,data
www.linkedin.com/company/18002254,CRMOne.io,https://www.data2crm.com/migration/,data
www.linkedin.com/company/93660,Pirean,www.pirean.com,software
www.linkedin.com/company/642128,PitchBook Data,www.pitchbook.com,data
www.linkedin.com/company/9199332,PIVOT SPORT LTD,www.pivotsport.com,data
www.linkedin.com/company/1068045,Planet Solutions Ltd,http://www.planetsolutions.co.uk,data
www.linkedin.com/company/1900859,PlayMob,www.playmob.com,data
www.linkedin.com/company/10658497,PlayStack,www.playstack.com,technology
www.linkedin.com/company/2792265,Plentific,www.plentific.com,software
www.linkedin.com/company/2728328,Plum Consulting London LLP,www.plumconsulting.co.uk,technology
www.linkedin.com/company/28698,Polaris,www.polarismanagement.com,technology
www.linkedin.com/company/2553229,Pole Star Space Applications,www.polestarglobal.com,software data
www.linkedin.com/company/9292521,Policy in Practice,policyinpractice.co.uk,software data
www.linkedin.com/company/970538,Salt,www.welovesalt.com,software data
www.linkedin.com/company/206677,PPL,http://www.ppluk.com,data
www.linkedin.com/company/2246236,Equityhub Group Pte Ltd,http://equityhubgroup.com/,investment
www.linkedin.com/company/675499,Precision Global Consulting,www.pgcgroup.com,technology
www.linkedin.com/company/2919766,Premier Patient Line,https://www.premierchoicegroup.com/premier-patient-line/,data
www.linkedin.com/company/10181841,Countrywide Developments UK PLC,https://countrywidedevplc.com/,investment
www.linkedin.com/company/22831,Primeur,https://www.primeur.com,data
www.linkedin.com/company/264996,Priority One IT,https://priorityoneit.co.uk,cloud
www.linkedin.com/company/10784,Whitepages,http://www.whitepages.com,data
www.linkedin.com/company/41271,PROCOLOMBIA,www.procolombia.co,investment
www.linkedin.com/company/121838,Project Centre Ltd,http://www.projectcentre.co.uk,technology
www.linkedin.com/company/24787481,Pronto Rush,www.prontorush.com,technology
www.linkedin.com/company/905820,ProSAP,www.prosap.biz,software
www.linkedin.com/company/3920,Protiviti,https://www.protiviti.com,data
www.linkedin.com/company/10208288,PTP Funding,www.welendus.com,technology
www.linkedin.com/company/167624,PubMatic,http://www.pubmatic.com,software
www.linkedin.com/company/2349382,PulsePoint,www.pulsepoint.com,data technology
www.linkedin.com/company/229780,The Purple Agency,http://purple.agency/,data
www.linkedin.com/company/11207856,Qadre,https://www.qad.re,software technology
www.linkedin.com/company/60540,Quantcast,www.quantcast.com,software
www.linkedin.com/company/10234967,Quantone Limited,www.quantonemusic.com,data
www.linkedin.com/company/768977,Qubit.,www.qubit.com,data
www.linkedin.com/company/2531735,Qubole,http://www.qubole.com,data
www.linkedin.com/company/10893,"Quinnox, Inc.",http://www.quinnox.com,cloud data
www.linkedin.com/company/2576396,Quipper,http://www.quipper.com/,technology
www.linkedin.com/company/3163423,SEE Design (part of R Holdings),www.see-design.com,software
www.linkedin.com/company/207439,R/GA,https://www.rga.com,technology
