name,Town/City
?What If! Ltd,London
@ Home Accommodation Services Ltd,London
]performance s p a c e [,london
0-two Maintenance,London
1 Tech LTD,London
10 GROUP LTD  T/A THE 10 GROUP,LONDON
1000heads Ltd,London
1000mercis LTD,London
100Starlings Ltd,London
101 Ways Limited,London
108 Medical Ltd,London
114 GPS Ltd  T/A Sushi Athlier,LONDON
1508 London Limited,London
17 Capital Services Ltd,London
18 Feet & Rising Limited,London
18A Charing Cross Dental Surgery,London
19RM Ltd,LONDON
1OAK CAPITAL LIMITED,London
1st 4Immigration Ltd,London
1ST CONTACT MONEY LIMITED T/A 1ST CONTACT FX &SABLE FX,LONDON
218 Strand Limited,London
21st Architecture Ltd,London
247 Financial Services Ltd,London
24SQ Limited,London
2CV Ltd,London
2M Consultancy Limited,London
33Seconds Ltd,London
350.Org,London
36 South Capital Advisors LLP,London
38 Degrees,London
3B DIGITAL LTD,LONDON
3d Innovations Limited,London
3-D Matrix Limited,London
3H Partners Limited,London
3HR PLC,London
3i plc,London
3R Consultants Ltd,London
3R Enterprises Ltd,London
4 GLOBAL CONSULTING LIMITED,LONDON
40 Harley Street Group Practice,London
42 Acres Ltd,London
4BIO Ventures Management Limited,London
4C Associates Ltd,London
4C Hotels - Camden Lock LLP,London
4Cast Ltd,London
4Life Direct,London
4MA LIMITED,LONDON
4Media Limited,London
4most Europe Limited,London
4th Screen Advertising Limited,London
5 E Ltd,London
5 HERTFORD STREET LIMITED,LONDON
515 Capital Limited,LONDON
51parcel LTD,London
54 Capital Ltd,London
5A Studios Ltd,London
6 Bones Limited trading as Dirty Bones,London
64 COMPUTERS LTD,LONDON
67 Pall Mall Limited,London
6a ltd.,London
7 Connections Ltd,London
76 Harley Street Limited,London
77Agency Ltd,London
7DIGITAL GROUP PLC,LONDON
8 - 10 Dover Street Limited,London
8c Capital LLP,London
8hwe,London
8Safe UK Limited,London
8th Light Ltd,London
964 Bidco Limited,London
A City Law Firm Ltd,London
A CONCEPT LIMITED,London
A J Accountancy,London
A Nelson & Co Ltd,London
A R PARMAR LTD,LONDON
A T Kearney Limited,London
A to Z Vets Ltd T/A Petcare Clinic Groups,London
A&Q Partnership (London) Ltd,London
A&R Properties (London) Ltd,London
A.M. Qattan Foundation,London
A.P.T. Capital,LONDON
A.S.Zanettos & Co. Ltd,London
A.Williams & Co. (Solicitors),London
AA & EVA LIMITED,LONDON
AA Access Partnership Ltd,London
AAHI Consultancy Limited,London
"AAR International, Inc.",London
Aasonn Limited,London
AB Mackenzie Solicitors,London
Ab Rogers Design,London
Abaco Asset Management LLP,London
Abacus Information Technology UK Limited,London
ABACUS PARTNERS (LDN) LLP,LONDON
Abacus Software Limited,London
Abans Global Limited,London
Abbas Media Law,London
ABBVL Limited,London
ABC International Bank Plc,London
"ABeam Consulting Ltd., UK Branch",London
Abel & Imray,London
Abellio London Ltd,London
Abellio Transport Holdings Ltd,London
Abercorn School,London
Aberfeldy Islamic Cultural Center,London
Abide Financial Ltd,London
ABIKE ADE FOUNDATION,London
Abingdon Medical Practice,London
Abis Resources Limited,London
ABLE SERVICES SUPPLIES LTD,London
AbleChildAfrica,London
"ABN AMRO Bank N.V., UK Branch",London
Abound Electronics Ltd,London
ABOVE & BEYOND CREATIVE LTD T/AS ABOVE + BEYOND,LONDON
ABP (LONDON) INVESTMENT LTD,London
ABPI,London
ABRAAJ ADVISERS UK LTD,LONDON
Abrams and Chronicle Books Ltd,London
ABS Europe Limited,London
ABS-CBN Europe Ltd,London
Absolute Abode Design Limited,London
Absolute FM LLP,London
Absolute Investment Partners,London
Absolute Post,London
Absolute Software EMEA Limited,London
Abt Britain Limited,London
Abu Dhabi Tourism & Culture Authority,London
ACA Compliance (Europe) Limited,London
Acacia Mining Plc,London
Academies Enterprise Trust,London
Academy Films Ltd,LONDON
Academy Music Group,London
Academy of Medical Royal Colleges,London
Acadian Asset Management (UK) Limited,London
AcadiaSoft (UK) Ltd,london
Acanthus Lawrence & Wrightson Ltd,London
Acap Advisory Ltd,London
Accedo UK Limited,London
Accel Partners Limited,London
Acceleration eMarketing,London
"ACCENT International Consortium for Academic Programs Abroad, Ltd.",London
Accenture (UK) Limited,London
Access College London,London
Access College London,LONDON
Access Industries (UK) Limited,London
Access Intelligence PLC,London
Access Self Storage Ltd,London
Accolade UK Ltd,London
Accolite Labs Europe Limited,London
Accor UK Limited,London
Accountagility Limited,London
Accountancy Hub Ltd,London
Accountax World Ltd T/A Accounts and Tax World,London
Accounting Freedom,London
Accouter Design Ltd,London
Acculegal Solicitors,London
Accuracy UK Ltd,London
ACE Group International Limited,London
Ace Software Solutions Ltd,London
Acensys Ltd,London
ACER International Limited,London
Acetop Financial Limited,London
ACG Europe Ltd,London
ACHERON CAPITAL LIMITED,LONDON
ACM Group Limited,London
ACME LTD,London
ACN ACCOUNTANTS,LONDON
ACN Services London Ltd,London
ACNE PRODUCTION LIMITED,LONDON
Aconex (UK) Limited,London
Aconite Technology Limited,London
a-connect solution (uk) limited.,London
Acorn Lodge Care Home,London
ACORN Machine (UK) Limited,London
Acoustiguide Limited,London
ACPI Investments Limited,LONDON
Acre Resources Ltd,London
Across the Pond Productions Limited,London
Acrotrend Solutions Limited,London
ACSN Limited,London
ACT London Limited,London
Actant Ltd,London
Actimize UK Limited,London
Action Against Hunger,London
Action Aid,London
Action Sustainability,London
Actis LLP,London
Activ Social Enterprise Limited,London
ACTIVE INTERNATIONAL LTD,LONDON
Active Securities Ltd,London
Active Webdezign Ltd,London
ActiveDocs UK Limited,London
ActiveIS Limited,London
ACTIVTRADES,LONDON
Actix Limited,London
Acton Muslim Welfare Association,London
Acts London,London
Acturis Ltd,London
Acuiti Labs Limited,London
Acumen Solutions UK Limited,London
ACUPAY SYSTEM LLC,LONDON
Acutest Ltd,London
Acxiom Limited,London
AD2ONE,London
Ada Digital Health Ltd,London
Adam Bernard Solicitors,London
Adam Perry & Co,London
Adam Smith International Limited,London
Adam Spiegel Productions Ltd,London
Adam Whitehead Photography Ltd,London
Adams Gold Limited,London
Adamson Associates (International) Ltd,London
Adani Global Pte Ltd,London
ADANI Limited,London
Adaptavist Group Ltd,London
Adaptive Financial Consulting Ltd,London
Adaptive Lab,London
Adaptly UK Limited,London
ADARA Media UK,London
ADDED DIMENSION EVENTS LTD,LONDON
ADDISON LEE LIMITED,LONDON
Addleshaw Goddard LLP,London
Adecco UK Limited,London
Aden & Anais Limited,London
Ades Ltd,London
ADETA FAMILY GROUP LIMITED,LONDON
adfm ltd,london
Adform London Limited,London
ADG Market Making LLP,London
Adgistics Limited,London
Adhunter Limited,London
ADIB (UK) LIMITED,LONDON
Adjaye Associates Limited,London
Adjoint UK Ltd,London
Adjusting Services Ltd,London
Adkins & Matchett (UK) Ltd,London
Adludio Limited,London
ADM Capital Europe LLP,London
Admiral Recruitment Limited,London
Adrem Contracts Limited,London
Adrem Grp Ltd,London
ADRIAN GIBSON MUSIC PRODUCTIONS,LONDON
Adroit Accountax Ltd,london
ADROIT GLOBAL LTD,LONDON
AdRoll UK Limited,London
ADS Securities London Ltd,London
Adstream UK Ltd,London
Adthena Ltd,London
ADVAM Limited,London
ADVANCE GLOBAL CAPITAL LIMITED,London
Advance International Media Ltd,London
Advance Media Ltd,London
Advance Shipping Ltd,London
Advanced 365 Limited,LONDON
ADVANCED BROADCAST SERVICES LIMITED,London
Advanced Capability Solutions Ltd,London
ADVANCED DESIGN TECHNOLOGY LIMITED,LONDON
Advanced Discovery Limited,London
Advanced Hair Studios Group Ltd,London
Advanced Interior Solutions Limited,London
Advanced Oncotherapy Plc,London
Advanced Payment Solutions,London
Advanced Skills Initiative,London
Advance,London
ADVANSYS ENGINEERING SERVICES AND CONSULTANCY LIMITED,London
Advantage Business Systems Limited,London
Advantage Resourcing UK Ltd,London
Advantage Travel Centres Limited,London
Adveniunt Medical International Limited,London
Advent Bioservices Ltd,London
Advent Capital (Holdings) Ltd,London
Advent International plc,London
Adventure Pictures Ltd,London
ADVIZZO,London
Adyen UK Limited,London
AE Arma-Elektropanc Building Services Limited,London
